dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-11-18,2020-09-30,2020-Q3,-64725.000000,,2023-12-08,0.000000,2223700.000000,,133725.000000,2089975.000000,,0.255000,0.000000,108725.000000,108725.000000,0.000000,-80.000000,0.674000,8.296000,175000.000000,175000.000000,0.000000,175000.000000,0.000000,0.000000,0.000000,,0.000000,-80.000000,-80.000000,,-80.000000,-80.000000,-80.000000,0.000000,0.000000,0.000000,23920.000000,,23920.000000,,,,-25080.000000,-0.268000,1.000000,0.000000,,0.000000,0.000000,2091525.000000,,0.000000,0.000000,0.000000,0.000000,198450.000000,198450.000000,0.000000,83725.000000,0.000000,0.000000,175000.000000,0.000000,108805.000000,0.000000,0.000000,-25080.000000,0.000000,-80.000000,-80.000000,-80.000000,0.000000,0.000000,,80.000000,-80.000000,0.000000,,,,,0.000000,0.000000,,,,25000.000000,-1080.000000,0.000000,0.000000,0.000000,,,,,0.000000,80.000000,1.000000,468750.000000,93750.000000,93750.000000,0.000000,2223700.000000,0.000000,0.000000,0.000000,23.719000
ARQ,2020-12-31,2021-02-02,2020-12-31,2020-Q4,911845.000000,108021938.000000,2023-12-08,0.000000,81028885.000000,,933632.000000,80095253.000000,,10.117000,0.000000,783713.000000,783713.000000,0.000000,-80543.000000,42.853000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-80543.000000,-80543.000000,,-80543.000000,-80543.000000,-80543.000000,0.000000,0.000000,0.000000,5000008.000000,,5000008.000000,107238225.000000,-1314.000000,-1313.824000,-189516.000000,-0.383000,1.000000,0.000000,,0.000000,0.000000,80223385.000000,,0.000000,80095253.000000,0.000000,80095253.000000,21787.000000,21787.000000,0.000000,674988.000000,0.000000,78488602.000000,-175000.000000,0.000000,80954916.000000,0.000000,0.000000,-189516.000000,0.000000,-80543.000000,-80543.000000,-80543.000000,0.000000,0.000000,,85384.000000,-85384.000000,0.000000,,21.604000,-1323.425000,,0.000000,0.000000,215.800000,,,0.000000,-81623.000000,0.000000,0.000000,0.000000,,,,,0.000000,85384.000000,1.000000,500565.000000,494202.000000,494202.000000,0.000000,81028885.000000,0.000000,0.000000,0.000000,163.959000
ARQ,2020-12-31,2021-08-31,2020-12-31,2020-Q4,27746334.000000,1145924428.000000,2023-12-08,0.000000,57031226.000000,,46047504.000000,10983722.000000,,-258.948000,0.000000,33483090.000000,33483090.000000,22597361.000000,-31673004.000000,2.516000,-0.189000,1127837.000000,0.000000,1127837.000000,1127837.000000,5564124.000000,6332126.000000,0.000000,0.000000,0.000000,-31673004.000000,-25340878.000000,-1.069000,-25340878.000000,-31673004.000000,-31673004.000000,-77.200000,-77.200000,-77.200000,-106135338.000000,,-106135338.000000,1113569176.000000,-35.000000,-43.942000,-25450429.000000,-62.094000,1.000000,1106858.000000,0.047000,8054367.000000,0.000000,-1679564.000000,,0.000000,0.000000,0.000000,0.000000,20080293.000000,18301170.000000,1779123.000000,4566348.000000,0.000000,-3568198.000000,-175000.000000,0.000000,36183070.000000,0.000000,0.000000,-25450429.000000,0.000000,-31673004.000000,-31673004.000000,-31673004.000000,0.000000,0.000000,-1.336000,33569241.000000,-32462383.000000,4401874.000000,0.000000,-10.797000,-36.179000,-2.588000,2745637.000000,0.000000,199.800000,48.343000,3.455000,11200252.000000,-107747243.000000,23704219.000000,23704219.000000,0.000000,,,,,122032.000000,28350629.000000,1.000000,5735358.000000,409870.000000,409870.000000,57.833000,48976859.000000,0.000000,0.000000,0.000000,119.494000
ARQ,2021-06-30,2021-09-15,2021-06-30,2021-Q2,12465595.000000,1143630286.000000,2023-12-08,0.000000,44068144.000000,,28337849.000000,15730295.000000,,-599.644000,,19111428.000000,19111428.000000,7289330.000000,-7715120.000000,1.785000,-0.165000,1828496.000000,0.000000,1828496.000000,1828496.000000,6470741.000000,,0.000000,0.000000,0.000000,-7715120.000000,,,,-7715120.000000,-7715120.000000,-39.000000,-39.000000,-39.000000,-118623183.000000,,-118623183.000000,1126347354.000000,-24.000000,-31.523000,,,1.000000,5258075.000000,0.419000,12079577.000000,0.000000,-1166619.000000,,0.000000,0.000000,0.000000,0.000000,19605056.000000,15872254.000000,3732802.000000,,,,,,,,,,,-7715120.000000,-7715120.000000,-7715120.000000,0.000000,0.000000,-0.615000,13157845.000000,-7899770.000000,3624172.000000,0.000000,-9.641000,-24.747000,-1.234000,3324936.000000,0.000000,199.400000,23.488000,0.706000,6138747.000000,-122287890.000000,12547405.000000,12547405.000000,0.000000,,,,,,11381525.000000,1.000000,5735358.000000,197823.000000,197823.000000,63.428000,31988567.000000,0.000000,0.000000,0.000000,161.703000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,-5566181.000000,1617370815.000000,2023-12-08,0.000000,39746218.000000,,19221149.000000,20525069.000000,,-580.917000,-5570048.000000,7996362.000000,7996362.000000,10318268.000000,-14691871.000000,0.775000,-0.218000,1485288.000000,0.000000,1485288.000000,1485288.000000,7626905.000000,2190875.000000,0.000000,0.000000,0.000000,-14691871.000000,-12500996.000000,-0.878000,-12500996.000000,-14691871.000000,-14691871.000000,-64.600000,-64.600000,-64.600000,-132209608.000000,,-132209608.000000,1610859741.000000,,,-11227232.000000,-49.331000,1.000000,3917429.000000,0.275000,16679024.000000,0.000000,-8231210.000000,,0.000000,0.000000,0.000000,0.000000,28869555.000000,24787330.000000,4082225.000000,-11115066.000000,0.000000,112166.000000,0.000000,0.000000,112166.000000,-5570048.000000,0.000000,-5657184.000000,0.000000,-14691871.000000,-14691871.000000,-14691871.000000,0.000000,0.000000,-1.032000,18847383.000000,-14929954.000000,7488575.000000,0.000000,-12.233000,,,3520263.000000,0.000000,282.000000,,,6998708.000000,-136979761.000000,14235697.000000,14235697.000000,0.000000,,,,,997979.000000,16931866.000000,1.000000,5735358.000000,227588.000000,227588.000000,62.550000,23067194.000000,0.000000,0.000000,0.000000,101.355000
ARQ,2021-12-31,2022-03-22,2021-12-31,2021-Q4,197681000.000000,605186647.000000,2023-12-08,0.000000,260798000.000000,,232703000.000000,28095000.000000,,74.420000,-8504264.000000,214601000.000000,214601000.000000,16148068.000000,-65098482.000000,6.644000,1.145000,1322000.000000,0.000000,1322000.000000,1322000.000000,7608000.000000,2886157.000000,0.000000,0.000000,0.000000,-65097482.000000,-62211325.000000,-3.053000,-62211325.000000,-65097482.000000,-65097482.000000,95.400000,95.400000,95.400000,121599000.000000,,121599000.000000,391907647.000000,-4.000000,-4.605000,-30322120.000000,-18.557000,1.000000,4227408.000000,0.207000,24290000.000000,0.000000,-11793000.000000,,0.000000,0.000000,0.000000,0.000000,139199000.000000,35022000.000000,104177000.000000,206604728.000000,0.000000,236926848.000000,0.000000,0.000000,236926848.000000,-8504264.000000,0.000000,-21817856.000000,0.000000,-65098482.000000,-65098482.000000,-65098482.000000,0.000000,0.000000,-3.195000,38255359.000000,-34027951.000000,12819000.000000,0.000000,4.977000,-6.416000,-1.813000,3479000.000000,0.000000,104.800000,10.155000,2.873000,10699000.000000,-202078000.000000,20375476.000000,20375476.000000,0.000000,,,,,6493904.000000,35644945.000000,1.000000,5774682.000000,1633955.000000,1633955.000000,12.470000,236508000.000000,0.000000,1000.000000,0.000000,144.746000
ARQ,2022-03-31,2022-05-09,2022-03-31,2022-Q1,166798000.000000,430346607.000000,2023-12-08,0.000000,233301000.000000,,197675000.000000,35626000.000000,,30.191000,-7181000.000000,179551000.000000,179551000.000000,15986000.000000,44894000.000000,6.402000,0.339000,1176000.000000,0.000000,1176000.000000,1176000.000000,7463000.000000,3750000.000000,0.000000,0.000000,0.000000,44893000.000000,48643000.000000,2.603000,48643000.000000,44893000.000000,44893000.000000,7.800000,7.000000,7.800000,174181000.000000,,174181000.000000,251971607.000000,-6.000000,,-35164000.000000,-6.095000,1.000000,2700000.000000,0.144000,32122000.000000,0.000000,-8073000.000000,,0.000000,0.000000,0.000000,0.000000,59120000.000000,30877000.000000,28243000.000000,-35050000.000000,0.000000,114000.000000,0.000000,0.000000,114000.000000,-7181000.000000,0.000000,-27983000.000000,0.000000,44894000.000000,44894000.000000,44894000.000000,0.000000,0.000000,2.403000,33622000.000000,-30922000.000000,10764000.000000,0.000000,2.471000,-10.099000,-185.500000,3179000.000000,0.000000,74.200000,6.536000,6.501000,10133000.000000,-157184000.000000,18686000.000000,18686000.000000,0.000000,,,,,7557000.000000,30153000.000000,1.000000,5799820.000000,5769350.000000,6323100.000000,3.239000,201179000.000000,0.000000,-1000.000000,0.000000,34.870000
ARQ,2022-06-30,2022-08-11,2022-06-30,2022-Q2,143163000.000000,216408033.000000,2023-12-08,27000.000000,209506000.000000,,169312000.000000,40194000.000000,,30.320000,-9206000.000000,148329000.000000,148329000.000000,13842000.000000,-5833000.000000,6.475000,0.191000,1028000.000000,0.000000,1028000.000000,1028000.000000,7603000.000000,4516000.000000,0.000000,0.000000,0.000000,-5833000.000000,-1317000.000000,-0.068000,-1317000.000000,-5833000.000000,-5833000.000000,-1.000000,-1.000000,-1.000000,175847000.000000,,175847000.000000,69107033.000000,-2.000000,-2.523000,-31577000.000000,-5.445000,1.000000,5433000.000000,0.282000,37298000.000000,0.000000,-1242000.000000,,0.000000,0.000000,0.000000,0.000000,33659000.000000,26149000.000000,7510000.000000,-31219000.000000,0.000000,358000.000000,0.000000,0.000000,358000.000000,-9206000.000000,0.000000,-22371000.000000,-3000.000000,-5833000.000000,-5833000.000000,-5833000.000000,0.000000,0.000000,-0.303000,32413000.000000,-26980000.000000,9238000.000000,0.000000,1.231000,-5.313000,0.989000,2744000.000000,0.000000,37.200000,2.982000,2.973000,13173000.000000,-163017000.000000,19275000.000000,19275000.000000,0.000000,,,,,6130000.000000,28183000.000000,1.000000,5817420.000000,5799750.000000,5799750.000000,3.323000,172208000.000000,0.000000,0.000000,0.000000,29.692000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,122833000.000000,145829550.000000,2023-12-08,152000.000000,189424000.000000,,145921000.000000,43503000.000000,,27.249000,-8402000.000000,130239000.000000,130239000.000000,12157000.000000,-23528000.000000,6.320000,0.194000,873000.000000,0.000000,873000.000000,873000.000000,8773000.000000,5162000.000000,0.000000,0.000000,0.000000,-23528000.000000,-18366000.000000,-1.130000,-18366000.000000,-23528000.000000,-23528000.000000,-4.000000,-4.000000,-4.000000,158603000.000000,,158603000.000000,16463550.000000,0.000000,-0.495000,-18425000.000000,-3.165000,1.000000,4092000.000000,0.252000,41049000.000000,0.000000,-4079000.000000,,0.000000,0.000000,0.000000,0.000000,30821000.000000,23088000.000000,7733000.000000,-18225000.000000,0.000000,200000.000000,0.000000,0.000000,200000.000000,-8402000.000000,0.000000,-10023000.000000,135000.000000,-23528000.000000,-23528000.000000,-23528000.000000,0.000000,0.000000,-1.448000,29355000.000000,-25263000.000000,6608000.000000,0.000000,0.919000,-2.942000,0.255000,2301000.000000,0.000000,25.000000,1.955000,1.951000,9018000.000000,-186545000.000000,16249000.000000,16249000.000000,0.000000,,,,,5738000.000000,24485000.000000,1.000000,5833182.000000,5820600.000000,5820600.000000,2.792000,148375000.000000,0.000000,0.000000,0.000000,25.491000
ARQ,2022-12-31,2023-03-06,2022-12-31,2022-Q4,103028000.000000,31972191.000000,2023-12-08,193000.000000,126448000.000000,,126204000.000000,244000.000000,,16.834000,-7085000.000000,108091000.000000,108091000.000000,12293000.000000,-66521000.000000,5.445000,0.298000,716000.000000,0.000000,716000.000000,716000.000000,8260000.000000,5548000.000000,0.000000,0.000000,0.000000,-66610000.000000,-61062000.000000,-3.831000,-61062000.000000,-66610000.000000,-66610000.000000,-11.400000,-11.200000,-11.400000,97386000.000000,,97386000.000000,-75402809.000000,1.000000,2.349000,-22151000.000000,-3.829000,1.000000,3644000.000000,0.229000,0.000000,0.000000,-4103000.000000,,0.000000,0.000000,0.000000,0.000000,29062000.000000,23176000.000000,5886000.000000,-22016000.000000,0.000000,-62000.000000,0.000000,0.000000,-62000.000000,-7085000.000000,0.000000,-15066000.000000,65000.000000,-66521000.000000,-66521000.000000,-66521000.000000,0.000000,0.000000,-4.174000,72512000.000000,-68868000.000000,7206000.000000,0.000000,0.328000,-0.627000,-0.623000,0.000000,0.000000,5.478000,0.456000,0.452000,10992000.000000,-253066000.000000,15937000.000000,15937000.000000,0.000000,,,,,5137000.000000,20432000.000000,1.000000,5836472.000000,5784950.000000,5793800.000000,2.755000,126448000.000000,0.000000,-89000.000000,0.000000,21.858000
ARQ,2023-03-31,2023-05-15,2023-03-31,2023-Q1,83942000.000000,29190158.000000,2023-12-08,206000.000000,101446000.000000,,101247000.000000,199000.000000,,13.415000,-5197000.000000,82644000.000000,82644000.000000,11110000.000000,-24628000.000000,5.851000,0.299000,555000.000000,0.000000,555000.000000,555000.000000,6781000.000000,213000.000000,0.000000,0.000000,0.000000,-24628000.000000,-24415000.000000,-1.733000,-24415000.000000,-24628000.000000,-24628000.000000,-4.200000,-4.200000,-4.200000,78111000.000000,,78111000.000000,-52898842.000000,0.000000,0.503000,-24808000.000000,-4.261000,1.000000,2976000.000000,0.211000,0.000000,0.000000,2052000.000000,,0.000000,0.000000,0.000000,0.000000,23335000.000000,17305000.000000,6030000.000000,-25447000.000000,0.000000,87000.000000,0.000000,0.000000,87000.000000,-5947000.000000,0.000000,-19611000.000000,24000.000000,-24628000.000000,-24628000.000000,-24628000.000000,0.000000,0.000000,-1.748000,28724000.000000,-25748000.000000,6942000.000000,0.000000,0.374000,-0.242000,-0.243000,0.000000,0.000000,5.000000,0.445000,0.444000,11679000.000000,-277727000.000000,14086000.000000,14086000.000000,0.000000,,,,,5108000.000000,20481000.000000,1.000000,5838032.000000,5822550.000000,5822550.000000,2.419000,101446000.000000,0.000000,0.000000,0.000000,17.423000
ARQ,2023-06-30,2023-08-08,2023-06-30,2023-Q2,67959000.000000,31631926.000000,2023-12-08,215000.000000,86956000.000000,,86756000.000000,200000.000000,,10.648000,-4544000.000000,65003000.000000,65003000.000000,9964000.000000,-19579000.000000,4.615000,0.397000,392000.000000,0.000000,392000.000000,392000.000000,6989000.000000,144000.000000,0.000000,0.000000,0.000000,-19579000.000000,-19435000.000000,-1.266000,-19435000.000000,-19579000.000000,-19579000.000000,-3.400000,-3.400000,-3.400000,62247000.000000,,62247000.000000,-32979074.000000,0.000000,0.268000,-17658000.000000,-3.021000,1.000000,5387000.000000,0.351000,0.000000,0.000000,3548000.000000,,0.000000,0.000000,0.000000,0.000000,24709000.000000,18797000.000000,5912000.000000,-17641000.000000,0.000000,14000.000000,0.000000,0.000000,-3000.000000,-4544000.000000,0.000000,-13114000.000000,20000.000000,-19579000.000000,-19579000.000000,-19579000.000000,0.000000,0.000000,-1.275000,25788000.000000,-20401000.000000,7255000.000000,0.000000,0.508000,-0.236000,-0.235000,0.000000,0.000000,5.402000,0.513000,0.512000,14832000.000000,-297306000.000000,15351000.000000,15351000.000000,0.000000,,,,,3601000.000000,16593000.000000,1.000000,5855595.000000,5845950.000000,5845950.000000,2.626000,86956000.000000,0.000000,0.000000,0.000000,14.875000
ARQ,2023-09-30,2023-11-07,2023-09-30,2023-Q3,57437000.000000,42982994.000000,2023-12-08,207000.000000,75727000.000000,,75541000.000000,186000.000000,,8.759000,-7929000.000000,56407000.000000,56407000.000000,8972000.000000,-13924000.000000,4.173000,0.463000,47000.000000,0.000000,47000.000000,47000.000000,7794000.000000,163000.000000,0.000000,0.000000,0.000000,-13923000.000000,-13760000.000000,-0.924000,-13760000.000000,-13923000.000000,-13923000.000000,-2.400000,-2.400000,-2.400000,51744000.000000,,51744000.000000,-13377006.000000,0.000000,0.113000,-8329000.000000,-1.410000,1.000000,5915000.000000,0.397000,0.000000,0.000000,1263000.000000,,0.000000,0.000000,0.000000,0.000000,23983000.000000,18104000.000000,5879000.000000,-8596000.000000,0.000000,86000.000000,0.000000,0.000000,-240000.000000,-7929000.000000,0.000000,-400000.000000,-27000.000000,-13924000.000000,-13924000.000000,-13924000.000000,0.000000,0.000000,-0.935000,20459000.000000,-14544000.000000,7727000.000000,0.000000,0.831000,-0.345000,-0.336000,0.000000,0.000000,7.200000,0.713000,0.706000,12591000.000000,-311230000.000000,14887000.000000,14887000.000000,0.000000,,,,,3577000.000000,14740000.000000,1.000000,5969860.000000,5907300.000000,5907300.000000,2.520000,75727000.000000,0.000000,1000.000000,0.000000,12.819000
ART,2020-09-30,2020-11-18,2020-09-30,2020-Q3,-64725.000000,,2023-12-08,0.000000,2223700.000000,,133725.000000,2089975.000000,,0.255000,,108725.000000,108725.000000,,,0.674000,8.296000,175000.000000,175000.000000,0.000000,175000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,23920.000000,,23920.000000,,,,,,1.000000,,,0.000000,,2091525.000000,,0.000000,0.000000,0.000000,0.000000,198450.000000,198450.000000,0.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,25000.000000,-1080.000000,,,,,,,,,,1.000000,468750.000000,93750.000000,,,2223700.000000,0.000000,,0.000000,23.719000
ART,2020-12-31,2021-02-02,2020-12-31,2020-Q4,911845.000000,108021938.000000,2023-12-08,0.000000,81028885.000000,,933632.000000,80095253.000000,,10.117000,0.000000,783713.000000,783713.000000,0.000000,-81623.000000,42.853000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-81623.000000,-81623.000000,,-81623.000000,-81623.000000,-81623.000000,0.000000,0.000000,0.000000,5000008.000000,,5000008.000000,107238225.000000,-1314.000000,-1313.824000,-214596.000000,-0.434000,1.000000,0.000000,,0.000000,0.000000,80223385.000000,,0.000000,80095253.000000,0.000000,80095253.000000,21787.000000,21787.000000,0.000000,783713.000000,0.000000,78513602.000000,0.000000,0.000000,81088721.000000,-80090412.000000,-80090412.000000,-214596.000000,0.000000,-81623.000000,-81623.000000,-81623.000000,0.000000,0.000000,,86464.000000,-86464.000000,0.000000,,21.604000,-1323.425000,,0.000000,0.000000,215.800000,,,0.000000,-81623.000000,0.000000,0.000000,0.000000,,,,,0.000000,86464.000000,1.000000,500565.000000,494202.000000,494202.000000,0.000000,81028885.000000,0.000000,0.000000,0.000000,163.959000
